"","dataset","n","mean","se"
"1","All",332,74.1807228915663,2.17411141044379
"2","L",109,46.9724770642202,1.45497954042807
"3","R",111,59.3603603603604,2.1030297863306
"4","S",112,115.348214285714,3.42253654564546
