"","x"
"296","ASV_3023"
"297","ASV_3028"
"298","ASV_3152"
"299","ASV_3162"
"300","ASV_3191"
"301","ASV_3215"
"302","ASV_3333"
"303","ASV_3338"
"304","ASV_3349"
"305","ASV_3413"
"306","ASV_3420"
"307","ASV_3440"
"308","ASV_3495"
"309","ASV_3515"
"310","ASV_3581"
"311","ASV_3595"
"312","ASV_3611"
"313","ASV_3616"
"314","ASV_3660"
"315","ASV_3679"
"316","ASV_3713"
"317","ASV_3784"
"318","ASV_3789"
"319","ASV_3804"
"320","ASV_3844"
"321","ASV_3857"
"322","ASV_3858"
"323","ASV_3902"
"324","ASV_4011"
"325","ASV_4118"
"326","ASV_4125"
"327","ASV_4127"
"328","ASV_4336"
"329","ASV_4406"
"330","ASV_4413"
"331","ASV_4438"
"332","ASV_4495"
"333","ASV_4567"
"334","ASV_4657"
"335","ASV_4737"
"336","ASV_4808"
"337","ASV_4871"
"338","ASV_4967"
"339","ASV_5515"
"340","ASV_5860"
"341","ASV_5877"
"342","ASV_5952"
"343","ASV_5982"
"344","ASV_6298"
"345","ASV_6643"
"346","ASV_7741"
"347","ASV_7748"
"348","ASV_11744"
"349","ASV_212"
"350","ASV_286"
"351","ASV_563"
"352","ASV_707"
"353","ASV_836"
"354","ASV_855"
"355","ASV_894"
"356","ASV_902"
"357","ASV_922"
"358","ASV_1037"
"359","ASV_1123"
"360","ASV_1160"
"361","ASV_1278"
"362","ASV_1279"
"363","ASV_1292"
"364","ASV_1327"
"365","ASV_1328"
"366","ASV_1331"
"367","ASV_1362"
"368","ASV_1461"
"369","ASV_1471"
"370","ASV_1532"
"371","ASV_1560"
"372","ASV_1563"
"373","ASV_1612"
"374","ASV_1650"
"375","ASV_1682"
"376","ASV_1736"
"377","ASV_1744"
"378","ASV_1782"
"379","ASV_1798"
"380","ASV_1811"
"381","ASV_1824"
"382","ASV_1896"
"383","ASV_1908"
"384","ASV_1927"
"385","ASV_1967"
"386","ASV_1969"
"387","ASV_2012"
"388","ASV_2086"
"389","ASV_2090"
"390","ASV_2159"
"391","ASV_2179"
"392","ASV_2261"
"393","ASV_2269"
"394","ASV_2388"
"395","ASV_2458"
"396","ASV_2468"
"397","ASV_2482"
"398","ASV_2531"
"399","ASV_2532"
"400","ASV_2555"
"401","ASV_2568"
"402","ASV_2677"
"403","ASV_2679"
"404","ASV_2684"
"405","ASV_2698"
"406","ASV_2700"
"407","ASV_2715"
"408","ASV_2814"
"409","ASV_2817"
"410","ASV_2831"
"411","ASV_2852"
"412","ASV_2868"
"413","ASV_2892"
"414","ASV_2936"
"415","ASV_2949"
"416","ASV_2953"
"417","ASV_3032"
"418","ASV_3049"
"419","ASV_3073"
"420","ASV_3135"
"421","ASV_3137"
"422","ASV_3240"
"423","ASV_3299"
"424","ASV_3302"
"425","ASV_3312"
"426","ASV_3313"
"427","ASV_3328"
"428","ASV_3343"
"429","ASV_3366"
"430","ASV_3397"
"431","ASV_3441"
"432","ASV_3449"
"433","ASV_3451"
"434","ASV_3452"
"435","ASV_3465"
"436","ASV_3487"
"437","ASV_3503"
"438","ASV_3546"
"439","ASV_3564"
"440","ASV_3579"
"441","ASV_3627"
"442","ASV_3667"
"443","ASV_3694"
"444","ASV_3740"
"445","ASV_3747"
"446","ASV_3758"
"447","ASV_3786"
"448","ASV_3814"
"449","ASV_3817"
"450","ASV_3830"
"451","ASV_3886"
"452","ASV_3913"
"453","ASV_3918"
"454","ASV_3944"
"455","ASV_3972"
"456","ASV_3982"
"457","ASV_3993"
"458","ASV_4034"
"459","ASV_4054"
"460","ASV_4169"
"461","ASV_4170"
"462","ASV_4178"
"463","ASV_4194"
"464","ASV_4203"
"465","ASV_4244"
"466","ASV_4258"
"467","ASV_4281"
"468","ASV_4296"
"469","ASV_4317"
"470","ASV_4323"
"471","ASV_4326"
"472","ASV_4341"
"473","ASV_4415"
"474","ASV_4429"
"475","ASV_4463"
"476","ASV_4467"
"477","ASV_4493"
"478","ASV_4570"
"479","ASV_4619"
"480","ASV_4684"
"481","ASV_4765"
"482","ASV_4767"
"483","ASV_4806"
"484","ASV_4862"
"485","ASV_4863"
"486","ASV_4884"
"487","ASV_4896"
"488","ASV_4917"
"489","ASV_4969"
"490","ASV_4979"
"491","ASV_4996"
"492","ASV_5029"
"493","ASV_5153"
"494","ASV_5217"
"495","ASV_5218"
"496","ASV_5322"
"497","ASV_5369"
"498","ASV_5417"
"499","ASV_5427"
"500","ASV_5460"
"501","ASV_5479"
"502","ASV_5682"
"503","ASV_5685"
"504","ASV_5710"
"505","ASV_5766"
"506","ASV_5776"
"507","ASV_5783"
"508","ASV_5785"
"509","ASV_5864"
"510","ASV_5883"
"511","ASV_5954"
"512","ASV_6086"
"513","ASV_6147"
"514","ASV_6157"
"515","ASV_6381"
"516","ASV_6408"
"517","ASV_6411"
"518","ASV_6450"
"519","ASV_6482"
"520","ASV_6521"
"521","ASV_6525"
"522","ASV_6528"
"523","ASV_6571"
"524","ASV_6648"
"525","ASV_6682"
"526","ASV_6683"
"527","ASV_7033"
"528","ASV_7090"
"529","ASV_7130"
"530","ASV_7384"
"531","ASV_7441"
"532","ASV_7600"
"533","ASV_8084"
"534","ASV_8236"
"535","ASV_8600"
"536","ASV_8700"
"537","ASV_9086"
"538","ASV_9629"
"539","ASV_109"
"540","ASV_173"
"541","ASV_227"
"542","ASV_677"
"543","ASV_698"
"544","ASV_769"
"545","ASV_800"
"546","ASV_823"
"547","ASV_824"
"548","ASV_876"
"549","ASV_896"
"550","ASV_910"
"551","ASV_913"
"552","ASV_931"
"553","ASV_944"
"554","ASV_976"
"555","ASV_997"
"556","ASV_1000"
"557","ASV_1100"
"558","ASV_1154"
"559","ASV_1209"
"560","ASV_1223"
"561","ASV_1287"
"562","ASV_1344"
"563","ASV_1387"
"564","ASV_1529"
"565","ASV_1531"
"566","ASV_1574"
"567","ASV_1577"
"568","ASV_1600"
"569","ASV_1607"
"570","ASV_1631"
"571","ASV_1639"
"572","ASV_1683"
"573","ASV_1706"
"574","ASV_1722"
"575","ASV_1751"
"576","ASV_1779"
"577","ASV_1826"
"578","ASV_1871"
"579","ASV_1874"
"580","ASV_1884"
"581","ASV_1906"
"582","ASV_1946"
"583","ASV_1966"
"584","ASV_1968"
"585","ASV_2043"
"586","ASV_2060"
"587","ASV_2119"
