"","Site","SiteSamp","MAP.mm","MAT.C","ph","watercontent","P","K","Cu","Mg","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num"
"1","CGF-MXG-PRO","CGF-MXG-PRO-5",1.11687,1.20411998265592,5.39,9.49196728029932,1.67679991105286,1.78862870755212,0.604577647549209,2.2582362206596,1.76585907657909,1.44317198809076,1.65656615578293,0.366567135200486,0.695512382244671,0.169867886500289,-1.75693670090049,-0.31473054501745,-0.562385865948945,-1.07148636314688,1.87,1.11394335230684
"2","CGF-MXG-PRO","CGF-MXG-PRO-6",1.11687,1.20411998265592,5.34,9.46457491715323,2.02035079130247,2.15847700613201,0.681012118677631,2.20886977884853,1.84580427385624,1.5764434119246,1.67057463277655,0.328917521866905,1.39213548857496,0.889235974881919,-1.79164210748646,-0.513349313484355,-0.450487502781893,-0.862368690335444,2.24,1.11394335230684
"3","CGF-MXG-PRO","CGF-MXG-PRO-7",1.11687,1.20411998265592,5.365,9.47996288633139,1.84652742522746,2.06108499837515,0.610332517293952,2.27160334320209,1.81274200352092,1.4654591170526,1.66420789807681,0.588176068129455,1.21951637670591,0.741784405837299,-1.75693670090049,-0.317266622523037,-0.513874330338184,-0.533667268073605,1.82,1.11394335230684
"4","CGF-MXG-PRO","CGF-MXG-PRO-8",1.11687,1.20411998265592,5.52,9.48300723324265,1.92700784675595,2.21312695837198,0.656041803794208,2.20682587603185,1.90785377678801,1.44806945766184,1.68336493100544,0.371198012420646,1.09942061743603,0.787473806100312,-1.72233310942698,-0.190420004971448,-0.560841527455125,-0.372355538782396,2.18,1.11394335230684
"5","CRE-MXT-NCD","CRE-MXT-NCD-4",1.19221,1.24303804868629,5.85,8.93886325664602,2.34979065869225,1.65226993178428,0.195652197568376,1.7178328105747,1.91454524154983,0.997521345596888,1.45416293291088,0.295251451047715,0.764974477468983,0.126314896652473,-2.15814389115345,0.556177871968196,-0.950195520879933,-1.3097255289514,1.94,0.698970004336019
"6","CRE-MXT-NCD","CRE-MXT-NCD-5",1.19221,1.24303804868629,5.68,9.34179774661298,1.44648313690663,1.58423286755998,0.271740619561994,1.95277139195556,1.83939606118979,1.11971479248471,1.63827216398241,0.302922213523651,0.0896280918153267,0.51929024324734,-1.89064541605808,0.296452456498007,-0.741673771059754,-1.75466210029967,1.88,0.698970004336019
"7","CRE-MXT-NCD","CRE-MXT-NCD-6",1.19221,1.24303804868629,5.76,9.34640161815671,1.54338447472032,1.82044852758294,0.261426578469083,2.01214037122403,1.98289334241669,1.22001206891919,1.59604195763896,0.370056561307924,0.0439404842568423,0.310743452087083,-1.86703631276131,0.319004477753982,-0.739755482089208,-1.70350957785228,1.71,0.698970004336019
"8","WBI-NRT-NCS","WBI-NRT-NCS-4",1.30015,1.24551266781415,6.62,9.25304908423928,2.51811321996897,1.90848501887865,0.683595142769065,2.22519687212723,1.14747468631351,1.11971479248471,1.77815125038364,0.580061759567383,1.43292895125553,0.0116956582690654,-1.95781370392219,0.401079255862686,-1.66900484092707,-0.435221410577621,2.54,0.903089986991944
"9","WBI-NRT-NCS","WBI-NRT-NCS-6",1.30015,1.24551266781415,6.475,9.18876022724671,2.52005415348603,1.71484983835667,0.664706800465852,2.15606849430012,1.14128755171574,1.11624121206912,1.79886487089354,0.512082818603396,1.36248249029505,0,-1.99126995046971,0.471317363336369,-1.66856004445354,-0.812432524966044,2.34,0.903089986991944
"10","BRF-ONE-COM","BRF-ONE-COM-1",1.16934,1.21748394421391,5.455,9.35477106548801,1.49842737812975,1.65386632568942,0.153427274419737,1.97414466239642,1.49842737812975,1.07979422354092,1.32605800136591,0.437582407319727,0.223350487000713,0.298502581045133,-2.01353939863647,0.385764535418173,-1.26138113922112,-0.980405893799546,2.43,0.778151250383644
"11","BRF-ONE-COM","BRF-ONE-COM-7",1.16934,1.21748394421391,5.555,9.26562767419494,1.28111176682947,1.52838469390418,0.0998948665575186,1.83404779630744,1.50091751348716,1.08660526412683,1.19081451587639,0.322171313778735,0.418020965604223,0.428013746838768,-2.06687379282703,0.451257561401301,-1.31238367511698,-0.798699610466067,2.82,0.778151250383644
"12","CCR-ONE-NCD","CCR-ONE-NCD-5",1.17702,1.22010808804006,6.1,8.97927051514126,2.39967372148104,1.53246037391623,0.634244674699364,2.01735444429079,1.36172783601759,1.17161395670094,2.49243801280377,0.482085274125284,1.43299947283212,0.449322011185914,-1.97422649947248,0.708113173958998,-1.09532252144749,-0.651286045042378,2.47,1.43136376415899
