"","term","ASV","mean","support","supportNeg","signif","sign","CS1","kingdom","phylum","class","order","family","genus","species","model"
"11","Cu","ASV_1051",0.964630403488862,0.95575,0.04425,TRUE,"positive","-6.4657816","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA,"Abundance"
"12","Cu","ASV_330",0.966958267604419,0.96825,0.03175,TRUE,"positive","-6.4864068","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA,"Abundance"
"13","Cu","ASV_1252",0.976956460852818,0.96625,0.03375,TRUE,"positive","-6.4609110","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA,"Abundance"
"14","doc","ASV_237",-0.959719667506855,0.03525,0.96475,TRUE,"negative","-6.0230696","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__viride","Abundance"
"15","doc","ASV_789",-0.959074593824425,0.02925,0.97075,TRUE,"negative","-5.4940594","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Lipomycetaceae","g__Lipomyces","s__starkeyi","Abundance"
"16","doc","ASV_54",-0.905090727051999,0.02225,0.97775,TRUE,"negative","-6.7724035","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__anisopliae","Abundance"
"17","doc","ASV_29",-0.887969805761464,0.045,0.955,TRUE,"negative","-7.6748209","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Wilcoxina","s__mikolae","Abundance"
"18","doc","ASV_254",-0.886236238864472,0.016,0.984,TRUE,"negative","-4.7691380","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"19","doc","ASV_527",-0.882049068201314,0.01875,0.98125,TRUE,"negative","-4.6934149","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia",NA,"Abundance"
"20","doc","ASV_567",-0.869411212276934,0.02425,0.97575,TRUE,"negative","-4.6932523","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia",NA,"Abundance"
"21","doc","ASV_473",-0.817401356017565,0.0335,0.9665,TRUE,"negative","-5.8738932","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__bambusae","Abundance"
"22","doc","ASV_2019",-0.816779204908826,0.02625,0.97375,TRUE,"negative","-4.7567060","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"23","doc","ASV_528",-0.816477558709381,0.02725,0.97275,TRUE,"negative","-4.7619456","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"24","doc","ASV_1355",-0.813992541530124,0.02875,0.97125,TRUE,"negative","-4.7591368","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"25","doc","ASV_730",-0.81225297711368,0.025,0.975,TRUE,"negative","-4.7570187","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"26","doc","ASV_625",-0.802643375654076,0.0305,0.9695,TRUE,"negative","-4.7515409","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"27","doc","ASV_1505",-0.802603251139457,0.03175,0.96825,TRUE,"negative","-4.7575052","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"28","doc","ASV_2815",-0.797503166840662,0.03225,0.96775,TRUE,"negative","-4.7574098","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"29","doc","ASV_1494",-0.796073700173088,0.0345,0.9655,TRUE,"negative","-4.7571574","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"30","doc","ASV_1207",-0.794718079695778,0.03125,0.96875,TRUE,"negative","-4.7566688","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"31","doc","ASV_1937",-0.794301252237733,0.02625,0.97375,TRUE,"negative","-4.7566623","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"32","doc","ASV_1379",-0.792334844952965,0.0305,0.9695,TRUE,"negative","-4.7573518","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"33","doc","ASV_3474",-0.791364157445872,0.0285,0.9715,TRUE,"negative","-4.7564283","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"34","doc","ASV_741",-0.789192210369463,0.03175,0.96825,TRUE,"negative","-4.7548065","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"35","doc","ASV_1305",-0.78709437507261,0.0295,0.9705,TRUE,"negative","-4.7577304","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"36","doc","ASV_734",-0.782448415766498,0.03325,0.96675,TRUE,"negative","-4.7578637","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"37","doc","ASV_1861",-0.778948992131627,0.0305,0.9695,TRUE,"negative","-4.7580669","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"38","doc","ASV_1371",-0.774547130665588,0.026,0.974,TRUE,"negative","-4.7575087","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"39","doc","ASV_848",-0.771760272151578,0.03675,0.96325,TRUE,"negative","-4.7577392","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"40","doc","ASV_1511",-0.77029377956059,0.02875,0.97125,TRUE,"negative","-4.7588652","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,"Abundance"
"41","doc","ASV_134",-0.764641789224156,0.02475,0.97525,TRUE,"negative","-4.7289372","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia","s__divaricata","Abundance"
"42","doc","ASV_177",-0.684241033493314,0.04525,0.95475,TRUE,"negative","-5.8859294","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora",NA,"Abundance"
"43","doc","ASV_56",0.768123025241182,0.98125,0.01875,TRUE,"positive","-1.8682232","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__podzolica","Abundance"
"44","lib","ASV_1030",2.02018578651859e-05,0.9605,0.0395,TRUE,"positive","-4.7412461","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"45","lib","ASV_1282",2.02273389593515e-05,0.96175,0.03825,TRUE,"positive","-4.7397526","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"46","lib","ASV_918",2.03670567567572e-05,0.96725,0.03275,TRUE,"positive","-4.3080713","k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,"Abundance"
"47","lib","ASV_1072",2.04878226818438e-05,0.9595,0.0405,TRUE,"positive","-4.7412709","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"48","lib","ASV_711",2.07728649269146e-05,0.96425,0.03575,TRUE,"positive","-4.7412309","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"49","lib","ASV_1424",2.08838756979722e-05,0.97025,0.02975,TRUE,"positive","-4.7423037","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"50","lib","ASV_336",2.08861028152713e-05,0.95075,0.04925,TRUE,"positive","-5.1217583","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"51","lib","ASV_930",2.09640356468869e-05,0.9605,0.0395,TRUE,"positive","-4.7406223","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"52","lib","ASV_882",2.10542832238965e-05,0.96225,0.03775,TRUE,"positive","-4.7412515","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"53","lib","ASV_3357",2.10706441990801e-05,0.961,0.039,TRUE,"positive","-4.7405901","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"54","lib","ASV_1640",2.10813668748547e-05,0.953,0.047,TRUE,"positive","-5.1014558","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"55","lib","ASV_957",2.11484887998351e-05,0.961,0.039,TRUE,"positive","-4.7398924","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"56","lib","ASV_3577",2.11487008767024e-05,0.963,0.037,TRUE,"positive","-4.7400265","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"57","lib","ASV_457",2.11505161120471e-05,0.9635,0.0365,TRUE,"positive","-4.7406672","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"58","lib","ASV_943",2.11513069639643e-05,0.96075,0.03925,TRUE,"positive","-4.7413547","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"59","lib","ASV_188",2.11871541005425e-05,0.975,0.025,TRUE,"positive","-1.7357989","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,"Abundance"
"60","lib","ASV_1862",2.11891008494757e-05,0.96075,0.03925,TRUE,"positive","-4.7398413","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"61","lib","ASV_1008",2.12073017747145e-05,0.9675,0.0325,TRUE,"positive","-4.7409764","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"62","lib","ASV_750",2.12295720851316e-05,0.966,0.034,TRUE,"positive","-4.7426907","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"63","lib","ASV_713",2.1251636755995e-05,0.96525,0.03475,TRUE,"positive","-4.7395368","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"64","lib","ASV_1273",2.12546738617553e-05,0.96775,0.03225,TRUE,"positive","-4.7416736","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"65","lib","ASV_1510",2.12751378757273e-05,0.963,0.037,TRUE,"positive","-4.7399884","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"66","lib","ASV_601",2.12999279420516e-05,0.95875,0.04125,TRUE,"positive","-4.7451040","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"67","lib","ASV_1004",2.13454361800619e-05,0.96625,0.03375,TRUE,"positive","-4.7409610","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"68","lib","ASV_1428",2.13497561973427e-05,0.9675,0.0325,TRUE,"positive","-4.7401076","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"69","lib","ASV_2385",2.13569543741959e-05,0.96725,0.03275,TRUE,"positive","-4.7397491","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"70","lib","ASV_2077",2.13591225578403e-05,0.967,0.033,TRUE,"positive","-4.7408483","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"71","lib","ASV_1645",2.13878332042713e-05,0.9605,0.0395,TRUE,"positive","-4.7401983","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"72","lib","ASV_999",2.13956992887271e-05,0.97,0.03,TRUE,"positive","-4.7371902","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"73","lib","ASV_1038",2.14172741476279e-05,0.9675,0.0325,TRUE,"positive","-4.7403114","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"74","lib","ASV_391",2.14352743711467e-05,0.96925,0.03075,TRUE,"positive","-4.7404060","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"75","lib","ASV_755",2.14382644246774e-05,0.969,0.031,TRUE,"positive","-4.7403191","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"76","lib","ASV_701",2.14436490362897e-05,0.969,0.031,TRUE,"positive","-4.7413940","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"77","lib","ASV_363",2.14501684323972e-05,0.964,0.036,TRUE,"positive","-4.7407962","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"78","lib","ASV_1550",2.14537286515952e-05,0.967,0.033,TRUE,"positive","-4.7428776","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"79","lib","ASV_574",2.14645315889756e-05,0.964,0.036,TRUE,"positive","-4.7405331","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"80","lib","ASV_561",2.14921613441616e-05,0.969,0.031,TRUE,"positive","-4.7450772","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"81","lib","ASV_448",2.14941240241823e-05,0.96525,0.03475,TRUE,"positive","-4.7399533","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"82","lib","ASV_1323",2.15061732872068e-05,0.9675,0.0325,TRUE,"positive","-4.7432985","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"83","lib","ASV_883",2.1542397767615e-05,0.96725,0.03275,TRUE,"positive","-4.7420847","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"84","lib","ASV_2183",2.15449040431826e-05,0.96625,0.03375,TRUE,"positive","-4.7405567","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"85","lib","ASV_1115",2.15548830854029e-05,0.964,0.036,TRUE,"positive","-4.7413935","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"86","lib","ASV_297",2.15585507168124e-05,0.96725,0.03275,TRUE,"positive","-4.7407078","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"87","lib","ASV_324",2.16009999993678e-05,0.9715,0.0285,TRUE,"positive","-4.7404796","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"88","lib","ASV_1233",2.16185171804208e-05,0.967,0.033,TRUE,"positive","-4.7401167","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"89","lib","ASV_314",2.16192780729679e-05,0.96075,0.03925,TRUE,"positive","-4.7430283","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"90","lib","ASV_258",2.16460455587795e-05,0.96625,0.03375,TRUE,"positive","-4.7402455","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"91","lib","ASV_692",2.16524144969487e-05,0.97,0.03,TRUE,"positive","-4.7416779","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"92","lib","ASV_5935",2.16566600975468e-05,0.9565,0.0435,TRUE,"positive","-5.1006716","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"93","lib","ASV_2649",2.16655393292036e-05,0.969,0.031,TRUE,"positive","-4.7396024","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"94","lib","ASV_250",2.16878769112967e-05,0.96525,0.03475,TRUE,"positive","-4.7408149","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"95","lib","ASV_610",2.17179368586857e-05,0.9695,0.0305,TRUE,"positive","-4.7413822","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"96","lib","ASV_811",2.17325482769847e-05,0.96725,0.03275,TRUE,"positive","-4.7411578","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"97","lib","ASV_3408",2.17451681992838e-05,0.9595,0.0405,TRUE,"positive","-5.0994576","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"98","lib","ASV_1052",2.17677420980882e-05,0.96675,0.03325,TRUE,"positive","-4.7402399","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"99","lib","ASV_714",2.17794716215893e-05,0.9695,0.0305,TRUE,"positive","-4.7419954","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"100","lib","ASV_924",2.17845056388454e-05,0.97325,0.02675,TRUE,"positive","-4.7340707","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"101","lib","ASV_1157",2.17915537610575e-05,0.9685,0.0315,TRUE,"positive","-4.7398831","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"102","lib","ASV_1666",2.17931281556813e-05,0.973,0.027,TRUE,"positive","-4.7404286","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"103","lib","ASV_568",2.17931691125654e-05,0.974,0.026,TRUE,"positive","-4.7367951","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"104","lib","ASV_756",2.17994214524476e-05,0.9545,0.0455,TRUE,"positive","-5.1112152","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"105","lib","ASV_203",2.18240588419467e-05,0.96125,0.03875,TRUE,"positive","-5.1221888","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"106","lib","ASV_1454",2.18503638131111e-05,0.969,0.031,TRUE,"positive","-4.7401310","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"107","lib","ASV_1846",2.18750059913901e-05,0.97,0.03,TRUE,"positive","-4.7404741","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"108","lib","ASV_2050",2.19071927119748e-05,0.9545,0.0455,TRUE,"positive","-5.1011857","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"109","lib","ASV_893",2.19085185730825e-05,0.9715,0.0285,TRUE,"positive","-4.7432877","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"110","lib","ASV_1002",2.19478852857998e-05,0.967,0.033,TRUE,"positive","-4.7408967","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"111","lib","ASV_654",2.1971357130298e-05,0.96425,0.03575,TRUE,"positive","-4.7409534","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"112","lib","ASV_2413",2.20152212081245e-05,0.97275,0.02725,TRUE,"positive","-4.7396280","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"113","lib","ASV_1536",2.20218623046993e-05,0.956,0.044,TRUE,"positive","-5.1048192","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"114","lib","ASV_468",2.20292480757932e-05,0.9685,0.0315,TRUE,"positive","-4.7425391","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"115","lib","ASV_985",2.20471249304129e-05,0.96725,0.03275,TRUE,"positive","-4.7406300","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"116","lib","ASV_2563",2.2086629055633e-05,0.97225,0.02775,TRUE,"positive","-4.7407898","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"117","lib","ASV_2394",2.20929751441534e-05,0.97525,0.02475,TRUE,"positive","-4.7393936","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"118","lib","ASV_1396",2.21180425234589e-05,0.97025,0.02975,TRUE,"positive","-4.7398231","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"119","lib","ASV_4240",2.21629261595373e-05,0.95575,0.04425,TRUE,"positive","-5.1013451","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"120","lib","ASV_2137",2.21829216565768e-05,0.97,0.03,TRUE,"positive","-4.7410174","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"121","lib","ASV_209",2.22041313230934e-05,0.96925,0.03075,TRUE,"positive","-4.7430875","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"122","lib","ASV_3810",2.2215777382946e-05,0.957,0.043,TRUE,"positive","-5.1013068","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"123","lib","ASV_683",2.22368539127645e-05,0.973,0.027,TRUE,"positive","-4.7433860","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"124","lib","ASV_592",2.22923691806822e-05,0.97775,0.02225,TRUE,"positive","-4.7438348","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"125","lib","ASV_658",2.23758143108392e-05,0.97525,0.02475,TRUE,"positive","-4.7384477","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
"126","lib","ASV_929",2.24013867023857e-05,0.9585,0.0415,TRUE,"positive","-5.1073566","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"127","lib","ASV_1787",2.24038007219585e-05,0.95975,0.04025,TRUE,"positive","-5.1007713","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,"Abundance"
"128","lib","ASV_778",2.24444347134308e-05,0.974,0.026,TRUE,"positive","-4.7406280","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,"Abundance"
