"","Site","SiteSamp","MAP.mm","MAT.C","ph","P","K","Cu","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"1","CGF-MXG-PRO","CGF-MXG-PRO-5",1.11687,1.20411998265592,5.39,1.67679991105286,1.78862870755212,0.604577647549209,1.76585907657909,1.44317198809076,1.65656615578293,0.366567135200486,0.695512382244671,0.169867886500289,-1.75693670090049,-0.31473054501745,-0.562385865948945,-1.07148636314688,1.87,1.11394335230684,-80.652339144789,35.5497845592872
"2","CGF-MXG-PRO","CGF-MXG-PRO-6",1.11687,1.20411998265592,5.34,2.02035079130247,2.15847700613201,0.681012118677631,1.84580427385624,1.5764434119246,1.67057463277655,0.328917521866905,1.39213548857496,0.889235974881919,-1.79164210748646,-0.513349313484355,-0.450487502781893,-0.862368690335444,2.24,1.11394335230684,-80.6526884537982,35.5498619879254
"3","CGF-MXG-PRO","CGF-MXG-PRO-7",1.11687,1.20411998265592,5.365,1.84652742522746,2.06108499837515,0.610332517293952,1.81274200352092,1.4654591170526,1.66420789807681,0.588176068129455,1.21951637670591,0.741784405837299,-1.75693670090049,-0.317266622523037,-0.513874330338184,-0.533667268073605,1.82,1.11394335230684,-80.6530264735759,35.5499706790509
"4","CGF-MXG-PRO","CGF-MXG-PRO-8",1.11687,1.20411998265592,5.52,1.92700784675595,2.21312695837198,0.656041803794208,1.90785377678801,1.44806945766184,1.68336493100544,0.371198012420646,1.09942061743603,0.787473806100312,-1.72233310942698,-0.190420004971448,-0.560841527455125,-0.372355538782396,2.18,1.11394335230684,-80.6533495427496,35.550120771849
"5","CRE-MXT-NCD","CRE-MXT-NCD-4",1.19221,1.24303804868629,5.85,2.34979065869225,1.65226993178428,0.195652197568376,1.91454524154983,0.997521345596888,1.45416293291088,0.295251451047715,0.764974477468983,0.126314896652473,-2.15814389115345,0.556177871968196,-0.950195520879933,-1.3097255289514,1.94,0.698970004336019,-78.0463370150671,35.3704884944092
"6","CRE-MXT-NCD","CRE-MXT-NCD-5",1.19221,1.24303804868629,5.68,1.44648313690663,1.58423286755998,0.271740619561994,1.83939606118979,1.11971479248471,1.63827216398241,0.302922213523651,0.0896280918153267,0.51929024324734,-1.89064541605808,0.296452456498007,-0.741673771059754,-1.75466210029967,1.88,0.698970004336019,-78.0452728583872,35.3710820648143
"7","CRE-MXT-NCD","CRE-MXT-NCD-6",1.19221,1.24303804868629,5.76,1.54338447472032,1.82044852758294,0.261426578469083,1.98289334241669,1.22001206891919,1.59604195763896,0.370056561307924,0.0439404842568423,0.310743452087083,-1.86703631276131,0.319004477753982,-0.739755482089208,-1.70350957785228,1.71,0.698970004336019,-78.0451605821911,35.3710225064619
"8","WBI-NRT-NCS","WBI-NRT-NCS-4",1.30015,1.24551266781415,6.62,2.51811321996897,1.90848501887865,0.683595142769065,1.14747468631351,1.11971479248471,1.77815125038364,0.580061759567383,1.43292895125553,0.0116956582690654,-1.95781370392219,0.401079255862686,-1.66900484092707,-0.435221410577621,2.54,0.903089986991944,-78.1019152067514,34.7674441420945
"9","WBI-NRT-NCS","WBI-NRT-NCS-6",1.30015,1.24551266781415,6.475,2.52005415348603,1.71484983835667,0.664706800465852,1.14128755171574,1.11624121206912,1.79886487089354,0.512082818603396,1.36248249029505,0,-1.99126995046971,0.471317363336369,-1.66856004445354,-0.812432524966044,2.34,0.903089986991944,-78.1019049448889,34.7674653207346
"10","BRF-ONE-COM","BRF-ONE-COM-1",1.16934,1.21748394421391,5.455,1.49842737812975,1.65386632568942,0.153427274419737,1.49842737812975,1.07979422354092,1.32605800136591,0.437582407319727,0.223350487000713,0.298502581045133,-2.01353939863647,0.385764535418173,-1.26138113922112,-0.980405893799546,2.43,0.778151250383644,-78.8478425503366,35.603444916729
"11","BRF-ONE-COM","BRF-ONE-COM-7",1.16934,1.21748394421391,5.555,1.28111176682947,1.52838469390418,0.0998948665575186,1.50091751348716,1.08660526412683,1.19081451587639,0.322171313778735,0.418020965604223,0.428013746838768,-2.06687379282703,0.451257561401301,-1.31238367511698,-0.798699610466067,2.82,0.778151250383644,-78.8476296450411,35.603714417103
"12","CCR-ONE-NCD","CCR-ONE-NCD-5",1.17702,1.22010808804006,6.1,2.39967372148104,1.53246037391623,0.634244674699364,1.36172783601759,1.17161395670094,2.49243801280377,0.482085274125284,1.43299947283212,0.449322011185914,-1.97422649947248,0.708113173958998,-1.09532252144749,-0.651286045042378,2.47,1.43136376415899,-78.5125149128145,35.6650221571979
"13","CGF-MON-PRO","CGF-MON-PRO-3",1.11687,1.20411998265592,6.94,1.96945222105983,2.07145161027292,1.00393029362843,1.40510010048552,1.50743528141336,1.97683213494797,0.471849058315623,0.199773412764495,1.00104302810764,-1.59644127095612,-0.091544420551095,-0.243688960514844,-1.45169760485848,2.13,1,-80.6537254066828,35.5536776151124
"14","CGF-MXG-PRO","CGF-MXG-PRO-1",1.11687,1.20411998265592,5.525,2.16777161772046,2.25335043344733,0.739349166322692,1.84968709345269,1.5191883103269,1.78000325524524,0.304703592996725,0.193293835829736,0.82273963926442,-1.73438868515848,-0.476461776547777,-0.519546607251814,-1.81265404727735,1.5,1.11394335230684,-80.651022458945,35.5492517826623
"15","WBI-NRT-NCS","WBI-NRT-NCS-8",1.30015,1.24551266781415,6.41,2.45962761160671,2.08671892712103,0.64290901547394,1.0761826531324,1.16912954615841,1.66154350639539,0.639077548814602,1.29533387233613,0.311386938170468,-1.92296284224727,0.623523936671537,-1.65228435346462,-0.54166641749343,2.31,0.903089986991944,-78.1011919296536,34.7671827884918
"16","CRE-MXG-NCD","CRE-MXG-NCD-5",1.19221,1.24303804868629,5.98,2.41483089052121,1.9586712759855,0.406606187650725,1.74788733151409,1.01293527064348,1.57960636972926,0.442128990416193,0.841318314300972,0.108080969918261,-2.12166925204345,0.785135427891577,-1.59019675313538,-1.44215228695225,1.67,0.602059991327962,-78.046146061207,35.3699991408175
"17","CRE-MXT-NCD","CRE-MXT-NCD-3",1.19221,1.24303804868629,5.885,2.44290474076434,1.68536214371584,0.286052839694328,2.0525570032504,1.07979422354092,1.47218603704415,0.313323570847499,1.00671378627891,0.240952435862104,-2.17758022011734,0.543008091883875,-0.888371058378509,-1.13923814741372,2.23,0.698970004336019,-78.0464688701047,35.3704932320054
