"","Site","SiteSamp","MAP.mm","MAT.C","ph","watercontent","P","K","Cu","Mg","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"1","CGF-MXG-PRO","CGF-MXG-PRO-5",6.0937909209952,11.7477564296688,1.6661514683153,10.110488397169,1.06288619367372,1.62916991395117,0.62810807830157,1.62501100475591,0.928714433710264,2.32547262877134,0.755727797111368,0.550827293567771,0.407630797669316,0.169690894128103,-1.33238111588192,-0.238167346408172,-0.329341789206097,-0.64463205765834,1.12650602409639,0.985499489933852,-15.8448005460681,23.1691441255139
"2","CGF-MXG-PRO","CGF-MXG-PRO-6",6.0937909209952,11.7477564296688,1.65069551777434,10.0813110768537,1.28065546061773,1.96604571060381,0.707517413018269,1.58948725818116,0.970759837900126,2.54022114861545,0.762118483907858,0.494252569254128,0.815912576337057,0.888309443164417,-1.35870012232674,-0.388468948148159,-0.26381239139222,-0.518821818392905,1.34939759036145,0.985499489933852,-15.8448691706317,23.1691945886967
"3","CGF-MXG-PRO","CGF-MXG-PRO-7",6.0937909209952,11.7477564296688,1.65842349304482,10.0977017658687,1.17047269240478,1.87733633887851,0.63408693013458,1.63462989273351,0.953371469780102,2.3613852634416,0.759213970633437,0.883831092964417,0.71474275095299,0.74101151000428,-1.33238111588192,-0.240086482822966,-0.300932689862492,-0.321067109163045,1.09638554216867,0.985499489933852,-15.8449355773351,23.1692654268293
"4","CGF-MXG-PRO","CGF-MXG-PRO-8",6.0937909209952,11.7477564296688,1.70633693972179,10.1009444902918,1.22148744278723,2.01582354186208,0.681575242381312,1.58801647999624,1.00339339838159,2.33336422556768,0.767953435848155,0.557785946761354,0.644356182147574,0.786653304592654,-1.30613932140101,-0.144097317546875,-0.328437400896416,-0.224018079372301,1.31325301204819,0.985499489933852,-15.844999046872,23.1693632480036
"5","CRE-MXT-NCD","CRE-MXT-NCD-4",6.5048559580969,12.1274527780594,1.80834621329212,9.52134268601795,1.48948007015294,1.50496771701327,0.203267068057042,1.23614048697674,1.0069126259289,1.60736807874824,0.663391163759685,0.443663771477009,0.448341631878601,0.126183283940609,-1.63663845399496,0.420878780260317,-0.556449071518142,-0.78796248999005,1.16867469879518,0.618374876357686,-15.3328304729628,23.0522900736597
"6","CRE-MXT-NCD","CRE-MXT-NCD-5",6.5048559580969,12.1274527780594,1.75579598145286,9.95053342860358,0.916893509753674,1.44299625384723,0.282316885252807,1.40520064848373,0.967389580512913,1.80426596652444,0.747382052466327,0.455190351272304,0.0525298635839495,0.518749173278795,-1.43377974169097,0.224335692922337,-0.434335536430832,-1.05564707038295,1.13253012048193,0.618374876357686,-15.3326214108262,23.0526769260256
"7","CRE-MXT-NCD","CRE-MXT-NCD-6",6.5048559580969,12.1274527780594,1.78052550231839,9.9554373003143,0.978317113984433,1.65815295176258,0.271601417096395,1.44792215111918,1.04285879435968,1.96588119534915,0.72811657327005,0.556070729092382,0.0257529486244166,0.310419675640226,-1.415875668437,0.241401577196068,-0.433212156986172,-1.02487247825204,1.03012048192771,0.618374876357686,-15.3325993532647,23.0526381095864
"8","WBI-NRT-NCS","WBI-NRT-NCS-4",7.0937909209952,12.1515959059777,2.04636785162287,9.85600167404772,1.59617600046969,1.73834086462745,0.710200969555389,1.60123612041747,0.603488872714008,1.80426596652444,0.811195087314906,0.871638012365483,0.839821096381671,0.0116834720792919,-1.48471712508697,0.303510363326457,-0.977394834731604,-0.261839705186391,1.53012048192771,0.798958690046365,-15.3437492556204,22.6592631767019
"9","WBI-NRT-NCS","WBI-NRT-NCS-6",7.0937909209952,12.1515959059777,2.0015455950541,9.78752358899998,1.59740631508536,1.56196853589487,0.690577484574649,1.5514918227739,0.600234886435902,1.79866877073146,0.820644669961214,0.769488494650763,0.798533338165745,0,-1.51008882520875,0.356661936755123,-0.977134355094233,-0.488779016038331,1.40963855421687,0.798958690046365,-15.343747239595,22.6592769796256
"10","BRF-ONE-COM","BRF-ONE-COM-1",6.38007420340463,11.8781392549521,1.68624420401855,9.96435212246181,0.94981980970931,1.5064217901309,0.159398732132227,1.4205807045453,0.788064660647567,1.73993947517771,0.60494951482365,0.657539397264755,0.130902827182022,0.298191558867773,-1.52697696476625,0.291921191614349,-0.738684142712119,-0.589835848964258,1.46385542168675,0.688426084465051,-15.4902926802289,23.2041166174941
