"","sample.name.match","Site","SiteSamp","Axis1","MAP.mm","ph","P","K","Cu","Mn","Zn","TIN","perc.C","perc.sand","max.height.m","stand.age.yrs.num"
"L95","L95","SFA-ONE-PRO","SFA-ONE-PRO-6",-0.348769736092301,6.79550414666085,1.98454404945904,1.29021366988912,1.86593822699326,0.129801407767193,0.587313289114269,0.513198624959495,0.510542696073005,-1.55214529260544,0.453741591567853,1.56626506024096,0.266319563348788
"L73","L73","MHC-ONE-NCD","MHC-ONE-NCD-8",5.73420098097463,6.59013531209079,1.98299845440495,1.27329046310322,2.27222826741765,0.635838815139466,0.833990774897301,0.643776940418118,0.673118944826966,-1.22037355611749,0.0119026161917324,1.56626506024096,0.921314318110481
"L79","L79","OTO-MON-NCD","OTO-MON-NCD-6",-2.16942534538193,6.15206241815801,1.75579598145286,1.09154353932656,1.32633810638414,0.320459181053117,0.425097387966247,0.600248473972004,0.610437875967043,-1.59596086333105,0.282529219374805,1.22289156626506,0.844213042232524
"L94","L94","SFA-ONE-PRO","SFA-ONE-PRO-5",0.770424009874225,6.79550414666085,1.77125193199382,0.775093661352425,1.35522818938656,0.0999353959058286,0.549407041323841,0.374224113390427,0.195941765916868,-1.59596086333105,0.376112789983035,1.36746987951807,0.266319563348788
"L80","L80","OTO-MON-NCD","OTO-MON-NCD-7",-2.53218001480108,6.15206241815801,1.76506955177743,1.20748998015424,1.3657187673425,0.329221786635672,0.416984282427818,0.636097980557467,0.466500789042126,-1.61794597545618,0.296024457685328,1.26506024096386,0.844213042232524
"L39","L39","CRE-MXG-NCD","CRE-MXG-NCD-7",0.479530565561756,6.5048559580969,1.82689335394127,1.37263263442199,1.65061277425889,0.588506164956019,0.826014981173953,0.778707928987769,0.350557847612526,-1.60024378206491,0.321893697042991,1.09036144578313,0.532639126697576
"L50","L50","LCO-MXT-COM","LCO-MXT-COM-2",-2.80215933410168,6.8711807071148,1.31839258114374,1.04181538974414,1.38621769154751,0.0878879891913369,0.128171061016245,0.333249216493652,0.840960443317211,-1.03570972450672,0.240179737799594,1.31927710843373,0.884694439706475
"L15","L15","CCR-ONE-NCD","CCR-ONE-NCD-7",-5.45339334997579,6.421977302488,1.79907264296754,1.63017408478631,1.61614719215005,0.833234549487385,0.80061439981543,1.23526313453883,1.03342612352535,-1.44445322412721,0.464481403734994,1.40361445783133,1.26631956334879
"L24","L24","CGF-MON-PRO","CGF-MON-PRO-8",3.03296492960934,6.0937909209952,2.10510046367852,1.06030025295369,1.82120793782537,0.875083357744227,0.921473749856205,0.834283437065711,0.735200834635073,-1.19857748343247,0.0543604891593539,1.41566265060241,0.884694439706475
"L40","L40","CRE-MXG-NCD","CRE-MXG-NCD-8",5.49792998657773,6.5048559580969,1.83616692426584,1.05000452332377,1.57670248050523,0.299792291298627,0.760175331701299,0.626197615963461,0.408192298105596,-1.46112412778001,0.203503728113535,1.25903614457831,0.532639126697576
"L47","L47","CRE-MXT-NCD","CRE-MXT-NCD-7",0.731520462342942,6.5048559580969,1.62751159196291,1.46545671725681,1.36965502617459,0.203267068057042,0.977003318622296,0.562183453911088,0.579519729459838,-1.61794597545618,0.390215673839512,0.843373493975904,0.618374876357686
"L110","L110","WBI-NRT-NCS","WBI-NRT-NCS-7",-2.48189582283127,7.0937909209952,1.93972179289026,1.54229196558638,1.82563327216463,0.643448208172164,0.52729030005333,0.714084108482477,0.783761392606022,-1.58755606816016,0.442976520083503,1.45180722891566,0.798958690046365
"L103","L103","UCP-MXG-NCD","UCP-MXG-NCD-6",-0.545481915431697,6.36386948930598,1.46058732612056,1.68877492514203,1.48880959937276,0.361470411360281,0.556627679397185,0.660691452419047,0.69402209262244,-1.43641666343896,0.324571726244205,1.59036144578313,1.26631956334879
"L82","L82","OTO-MXT-NCD","OTO-MXT-NCD-1",3.10254696203028,6.15206241815801,1.73724884080371,1.12734895212733,1.53642525309087,0.175725496450136,0.459492815357664,0.513198624959495,0.712097563996058,-1.47866218964788,0.113590616938713,1.19277108433735,0.798958690046365
"L96","L96","SFA-ONE-PRO","SFA-ONE-PRO-7",-2.48812770416452,6.79550414666085,1.66924265842349,0.728752361702445,1.47058040140625,0.154974325075859,0.537250107477148,0.23526313453883,0.322648233254802,-1.463984500376,0.270509926410006,1.32530120481928,0.266319563348788
"L84","L84","OTO-MXT-NCD","OTO-MXT-NCD-3",3.75676573887802,6.15206241815801,1.60278207109737,1.22324496530886,1.41217117846734,0.106237504988676,0.21762324421571,0.411112307240701,0.349376408483195,-1.57935716722952,0.219049163091683,1.40361445783133,0.798958690046365
"L75","L75","OTO-MON-NCD","OTO-MON-NCD-2",-4.30284019581015,6.15206241815801,1.55332302936631,1.07513061264753,1.43141039482301,0.217521522696421,0.374770971499552,0.578983831337712,0.787892019411916,-1.55969727946371,0.199093204083974,1.19879518072289,0.844213042232524
"L32","L32","CGF-MXG-PRO","CGF-MXG-PRO-8",4.69494955969255,6.0937909209952,1.70633693972179,1.22148744278723,2.01582354186208,0.681575242381312,1.00339339838159,0.767953435848155,0.557785946761354,-1.30613932140101,-0.144097317546875,1.31325301204819,0.985499489933852
"L16","L16","CCR-ONE-NCD","CCR-ONE-NCD-8",-2.7681082952038,6.421977302488,1.94281298299845,1.46097264131796,1.4747631561086,0.666796713337768,0.578333541389549,1.12503733855521,0.851365795433393,-1.62252197105762,0.498530030744057,1.69879518072289,1.26631956334879
"L53","L53","LCO-MXT-COM","LCO-MXT-COM-5",-12.6659982681254,6.8711807071148,1.23647604327666,0.983181342852553,1.62133213592614,0.0525240499670397,0.170669414442464,0.427284170171943,1.18588674964579,-0.780090953706647,0.100847676375976,1.28313253012048,0.884694439706475
"L67","L67","MHC-ONE-NCD","MHC-ONE-NCD-2",4.06505011367123,6.59013531209079,2.10819165378671,1.07391444553749,2.11957400080072,0.319670098277383,0.73820988103619,0.609233044817939,0.665453140067516,-1.27676366590394,0.204758442608659,1.3855421686747,0.921314318110481
"L86","L86","OTO-MXT-NCD","OTO-MXT-NCD-5",0.856431465898541,6.15206241815801,1.55950540958269,1.16344392823574,1.49565010375556,0.150791118621605,0.334922464413522,0.462393332204177,0.386574135404675,-1.58755606816016,0.226638064637781,1.34939759036145,0.798958690046365
"L58","L58","LWR-BHO-NCS","LWR-BHO-NCS-2",-8.22754381036835,6.41772151898735,1.76506955177743,1.49458998898257,1.73834086462745,0.238262660067277,0.627624713938171,0.751305462852154,0.613776025257616,-1.45268573732274,0.210706634630183,1.44578313253012,0.954745647813834
"L109","L109","WBI-NRT-NCS","WBI-NRT-NCS-6",3.71532927326675,7.0937909209952,2.0015455950541,1.59740631508536,1.56196853589487,0.690577484574649,0.600234886435902,0.820644669961214,0.769488494650763,-1.51008882520875,0.356661936755123,1.40963855421687,0.798958690046365
"L38","L38","CRE-MXG-NCD","CRE-MXG-NCD-6",4.59967253313344,6.5048559580969,1.76816074188563,1.22671056275089,1.64741428811169,0.353306610474114,0.884823216370324,0.696691407089705,0.654678523215184,-1.54112693121336,0.226904561540426,1.12048192771084,0.532639126697576
"L72","L72","MHC-ONE-NCD","MHC-ONE-NCD-7",3.58586395050586,6.59013531209079,1.97217928902627,1.21617852697149,2.22859945156258,0.59828873527482,0.805304406683924,0.615457402260101,0.328236411067023,-1.1907445663546,0.0330121414426412,1.44578313253012,0.921314318110481
"L111","L111","WBI-NRT-NCS","WBI-NRT-NCS-8",-5.43515773962634,7.0937909209952,1.98145285935085,1.55910327327839,1.90068496641245,0.667931320102638,0.565994408347059,0.757998471422004,0.960318923301572,-1.45828781209915,0.471841846207852,1.39156626506024,0.798958690046365
"L70","L70","MHC-ONE-NCD","MHC-ONE-NCD-5",5.8808912163102,6.59013531209079,1.99381761978362,1.02368877873941,2.15797946531725,0.504899456160846,0.724809701308134,0.514217268591773,0.270773939810062,-1.33433503466615,-0.0151371159919054,1.41566265060241,0.921314318110481
"L17","L17","CGF-MON-PRO","CGF-MON-PRO-1",2.86466441926719,6.0937909209952,2.04173106646059,1.10957959885521,1.71466429933701,0.900184142422112,0.702943276280126,0.818816248055189,0.542261654383875,-1.19990032167268,-0.152394896400744,1.36746987951807,0.884694439706475
"L11","L11","CCR-ONE-NCD","CCR-ONE-NCD-3",-0.210550692119964,6.421977302488,2.16692426584235,1.36518468326746,1.51903914587787,0.63546906451652,0.60158373344392,1.10121797378834,0.831941391845462,-1.51008882520875,0.469871741122244,1.43975903614458,1.26631956334879
"L35","L35","CRE-MXG-NCD","CRE-MXG-NCD-3",2.19230155405903,6.5048559580969,1.61205564142195,1.60089828738248,1.58231944745269,0.530415648919983,1.03330667148945,0.760267833490772,0.58489667399511,-1.6045822510072,0.526781915490968,0.789156626506024,0.532639126697576
"L34","L34","CRE-MXG-NCD","CRE-MXG-NCD-2",-0.447697400342206,6.5048559580969,1.75579598145286,1.49923241972703,1.70877496811337,0.469901297377339,1.1023660620684,0.76835572177325,0.386605200649789,-1.62252197105762,0.494055695206211,0.867469879518072,0.532639126697576
"L7","L7","BRF-ONE-COM","BRF-ONE-COM-7",-1.55346527629326,6.38007420340463,1.71715610510046,0.812068273942709,1.39212702431682,0.103782819163072,0.789374292134582,0.54325124759426,0.48411528419441,-1.56742335057519,0.341481999910786,1.69879518072289,0.688426084465051
"L85","L85","OTO-MXT-NCD","OTO-MXT-NCD-4",2.34171288163046,6.15206241815801,1.57341576506955,1.21663098456916,1.27222826741765,0.10298971399109,0.170669414442464,0.404220281900279,0.447354735793393,-1.62716150132102,0.234186010564493,1.34939759036145,0.798958690046365
"L46","L46","CRE-MXT-NCD","CRE-MXT-NCD-6",2.02744839568796,6.5048559580969,1.78052550231839,0.978317113984433,1.65815295176258,0.271601417096395,1.04285879435968,0.72811657327005,0.556070729092382,-1.415875668437,0.241401577196068,1.03012048192771,0.618374876357686
"L61","L61","LWR-BHO-NCS","LWR-BHO-NCS-5",-6.85550797857039,6.41772151898735,1.92117465224111,1.54958043951368,1.92622796290288,0.506901476378283,0.648895005879433,0.733646022848473,0.433052964924824,-1.3483353590942,0.302364383601081,1.52409638554217,0.954745647813834
"L87","L87","OTO-MXT-NCD","OTO-MXT-NCD-6",-1.45029554232085,6.15206241815801,1.54868624420402,1.0727541783961,1.40878446180072,0.216005036939292,0.2588082496925,0.430241325815966,0.446784327342358,-1.57935716722952,0.181201040109711,1.41566265060241,0.798958690046365
"L88","L88","OTO-MXT-NCD","OTO-MXT-NCD-7",4.50724117179423,6.15206241815801,1.62287480680062,1.07752859822066,1.58211239352958,0.193561708755959,0.202666753147165,0.433748067804186,0.40948906223707,-1.53045893190011,0.184463431088566,1.3433734939759,0.798958690046365
"L9","L9","CCR-ONE-NCD","CCR-ONE-NCD-1",1.86867955128273,6.421977302488,2.09582689335394,1.54665750288853,1.44906164713697,0.833935406157189,0.735498677051677,1.1563941586091,0.76211848677155,-1.50034881904647,0.514103704482107,1.62048192771084,1.26631956334879
"L25","L25","CGF-MXG-PRO","CGF-MXG-PRO-1",3.72792854497957,6.0937909209952,1.70788253477589,1.37410224578678,2.0524610369166,0.768124964486079,0.972801920788021,0.812039974522948,0.457867166348576,-1.31528172330855,-0.360554889831286,0.903614457831325,0.985499489933852
"L8","L8","BRF-ONE-COM","BRF-ONE-COM-8",4.35559822088584,6.38007420340463,1.81143740340031,0.69765644646034,1.4620495672398,0.166535822041504,0.727078039871758,0.5268678893703,0.537700441284538,-1.52697696476625,0.290224457557604,1.65060240963855,0.688426084465051
"L28","L28","CGF-MXG-PRO","CGF-MXG-PRO-4",3.93471723188391,6.0937909209952,1.74497681607419,1.32023135253206,1.93227023808879,0.798937999073081,0.998376018600149,0.82705360880801,0.342832040612079,-1.32658562515459,-0.377840423205615,1.24096385542169,0.985499489933852
"L101","L101","UCP-MXG-NCD","UCP-MXG-NCD-4",2.81850633092709,6.36386948930598,1.56105100463678,1.58525557786603,1.54913359015905,0.385357582578923,0.498208094239425,0.744531273066494,0.502905884768339,-1.45268573732274,0.457526370148343,1.18072289156627,1.26631956334879
"L37","L37","CRE-MXG-NCD","CRE-MXG-NCD-5",4.08389770603863,6.5048559580969,1.84853168469861,1.53070762747129,1.78405294552332,0.422431481193715,0.919262592811861,0.720618635079131,0.664371384700392,-1.60897774183961,0.594138778050963,1.00602409638554,0.532639126697576
"L66","L66","MHC-ONE-NCD","MHC-ONE-NCD-1",5.53004729626323,6.59013531209079,1.86707882534776,1.03327700469201,2.02613414005338,0.322049585999635,0.672782417199149,0.464289286864229,0.495892563602425,-1.38952459891317,0.0727985332476886,1.32530120481928,0.921314318110481
"L60","L60","LWR-BHO-NCS","LWR-BHO-NCS-4",2.07065501150288,6.41772151898735,1.84234930448223,1.44743629357947,1.96308595608998,0.219059872008544,0.560319809264026,0.752619161348972,0.899205019225699,-1.37376282362085,0.258449371750345,1.39156626506024,0.954745647813834
"L98","L98","UCP-MXG-NCD","UCP-MXG-NCD-1",2.41041610296282,6.36386948930598,1.48531684698609,1.41504045018881,1.70763086126889,0.208734537760072,0.60181891422542,0.664198194407266,0.706615786826473,-1.45828781209915,0.437119759068016,1.10240963855422,1.26631956334879
