"","tissue","model","term","ASV","mean","sign","support.all","kingdom","phylum","class","order","family","genus","species","CS1"
"379","Soil","Abundance","stand.age.yrs.num","ASV_3464",-0.878720335871387,"negative",0.98125,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3111328
"380","Soil","Abundance","stand.age.yrs.num","ASV_1221",-0.874649944525634,"negative",0.97825,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3107065
"381","Soil","Abundance","stand.age.yrs.num","ASV_3320",-0.873926870670495,"negative",0.97925,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.2957246
"382","Soil","Abundance","stand.age.yrs.num","ASV_2380",-0.871494551232861,"negative",0.98025,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.2962567
"383","Soil","Abundance","stand.age.yrs.num","ASV_703",-0.867932391476942,"negative",0.97775,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3128652
"384","Soil","Abundance","stand.age.yrs.num","ASV_637",-0.86275174812068,"negative",0.982,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3108406
"385","Soil","Abundance","stand.age.yrs.num","ASV_2536",-0.860221913081727,"negative",0.98425,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3118896
"386","Soil","Abundance","stand.age.yrs.num","ASV_319",-0.846686783753471,"negative",0.971,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__irregularis",-4.6484047
"387","Soil","Abundance","stand.age.yrs.num","ASV_1991",-0.8351824618142,"negative",0.96625,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__macrocarpum",-4.7043927
"388","Soil","Abundance","stand.age.yrs.num","ASV_1355",-0.828983255131245,"negative",0.9775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7591368
"389","Soil","Abundance","stand.age.yrs.num","ASV_1371",-0.821476379405983,"negative",0.97625,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7575087
"390","Soil","Abundance","stand.age.yrs.num","ASV_1106",-0.813971453354905,"negative",0.96075,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__irregularis",-4.6476505
"391","Soil","Abundance","stand.age.yrs.num","ASV_625",-0.805960613964691,"negative",0.9735,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7515409
"392","Soil","Abundance","stand.age.yrs.num","ASV_1861",-0.805270660117367,"negative",0.974,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7580669
"393","Soil","Abundance","stand.age.yrs.num","ASV_781",-0.804847125881368,"negative",0.958,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__irregularis",-4.6476465
"394","Soil","Abundance","stand.age.yrs.num","ASV_2019",-0.804045609533326,"negative",0.9745,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.756706
"395","Soil","Abundance","stand.age.yrs.num","ASV_1379",-0.802122018488828,"negative",0.97175,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7573518
"396","Soil","Abundance","stand.age.yrs.num","ASV_438",-0.801692879594982,"negative",0.962,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__irregularis",-4.6481363
"397","Soil","Abundance","stand.age.yrs.num","ASV_1505",-0.799942701298333,"negative",0.9715,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7575052
"398","Soil","Abundance","stand.age.yrs.num","ASV_848",-0.79992182911344,"negative",0.9725,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7577392
"399","Soil","Abundance","stand.age.yrs.num","ASV_1253",-0.799295546673035,"negative",0.95775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__irregularis",-4.6476035
"400","Soil","Abundance","stand.age.yrs.num","ASV_741",-0.799075840685952,"negative",0.97425,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7548065
"401","Soil","Abundance","stand.age.yrs.num","ASV_1937",-0.795438751138582,"negative",0.96975,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7566623
"402","Soil","Abundance","stand.age.yrs.num","ASV_1305",-0.792720073951155,"negative",0.97325,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7577304
"403","Soil","Abundance","stand.age.yrs.num","ASV_730",-0.789510190059139,"negative",0.96775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7570187
"404","Soil","Abundance","stand.age.yrs.num","ASV_1805",-0.788619374702544,"negative",0.95875,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__macrocarpum",-4.7034055
"405","Soil","Abundance","stand.age.yrs.num","ASV_3474",-0.78773542330083,"negative",0.9695,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7564283
"406","Soil","Abundance","stand.age.yrs.num","ASV_3411",-0.787142076709833,"negative",0.95675,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__macrocarpum",-4.7022476
"407","Soil","Abundance","stand.age.yrs.num","ASV_734",-0.783797152559819,"negative",0.97175,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7578637
"408","Soil","Abundance","stand.age.yrs.num","ASV_1494",-0.783207403300983,"negative",0.963,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7571574
"409","Soil","Abundance","stand.age.yrs.num","ASV_2815",-0.77858133613569,"negative",0.97025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7574098
"410","Soil","Abundance","stand.age.yrs.num","ASV_1207",-0.777987114459142,"negative",0.96625,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7566688
"411","Soil","Abundance","stand.age.yrs.num","ASV_2507",-0.77382726653962,"negative",0.95375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7204784
"412","Soil","Abundance","stand.age.yrs.num","ASV_528",-0.77380281640643,"negative",0.9655,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7619456
"413","Soil","Abundance","stand.age.yrs.num","ASV_854",-0.773514248287122,"negative",0.95425,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__macrocarpum",-4.7047541
"414","Soil","Abundance","stand.age.yrs.num","ASV_421",-0.770672079215147,"negative",0.9615,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.721183
"415","Soil","Abundance","stand.age.yrs.num","ASV_1524",-0.770564800498795,"negative",0.958,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7195366
"416","Soil","Abundance","stand.age.yrs.num","ASV_1156",-0.769399859096986,"negative",0.96075,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7215876
"417","Soil","Abundance","stand.age.yrs.num","ASV_1516",-0.768933491778198,"negative",0.9555,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7212355
"418","Soil","Abundance","stand.age.yrs.num","ASV_1511",-0.768728812710666,"negative",0.97275,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7588652
"419","Soil","Abundance","stand.age.yrs.num","ASV_636",-0.759612362048788,"negative",0.95275,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6554969
"420","Soil","Abundance","stand.age.yrs.num","ASV_430",-0.757593830230415,"negative",0.952,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6559097
"421","Soil","Abundance","stand.age.yrs.num","ASV_1149",-0.755970906096057,"negative",0.958,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7202988
"422","Soil","Abundance","stand.age.yrs.num","ASV_1080",-0.754613438482576,"negative",0.95775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7202177
"423","Soil","Abundance","stand.age.yrs.num","ASV_1109",-0.754445191169428,"negative",0.95375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.7221158
"424","Soil","Abundance","stand.age.yrs.num","ASV_631",-0.750487443075096,"negative",0.951,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6551754
"425","Soil","Abundance","stand.age.yrs.num","ASV_1001",-0.749060541504747,"negative",0.95025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6550339
"426","Soil","Abundance","stand.age.yrs.num","ASV_949",-0.741291666160652,"negative",0.95225,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6555633
"427","Soil","Abundance","stand.age.yrs.num","ASV_452",-0.738197901427202,"negative",0.95225,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__indicum",-4.727016
"428","Soil","Abundance","stand.age.yrs.num","ASV_254",-0.7376388466796,"negative",0.966,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.769138
"429","Soil","Abundance","stand.age.yrs.num","ASV_213",-0.70208362932055,"negative",0.95275,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__intraradices",-4.644958
"430","Soil","Abundance","stand.age.yrs.num","ASV_1030",-0.655235740043582,"negative",0.96375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7412461
"431","Soil","Abundance","stand.age.yrs.num","ASV_714",-0.650638375045414,"negative",0.9595,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7419954
"432","Soil","Abundance","stand.age.yrs.num","ASV_448",-0.646394062734059,"negative",0.96325,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7399533
"433","Soil","Abundance","stand.age.yrs.num","ASV_893",-0.639241158512352,"negative",0.95325,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7432877
"434","Soil","Abundance","stand.age.yrs.num","ASV_1666",-0.624301926984133,"negative",0.95775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7404286
"435","Soil","Abundance","stand.age.yrs.num","ASV_883",-0.619858359143211,"negative",0.95275,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7420847
"436","Soil","Abundance","stand.age.yrs.num","ASV_1233",-0.618983691744158,"negative",0.95025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7401167
"437","Soil","Abundance","stand.age.yrs.num","ASV_3357",-0.616770923648649,"negative",0.9545,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7405901
"438","Soil","Abundance","stand.age.yrs.num","ASV_297",-0.615622725321629,"negative",0.95375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7407078
"439","Soil","Abundance","stand.age.yrs.num","ASV_2563",-0.613893025277135,"negative",0.9555,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7407898
"440","Soil","Abundance","stand.age.yrs.num","ASV_1072",-0.611760774956915,"negative",0.952,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7412709
"441","Soil","Abundance","stand.age.yrs.num","ASV_2385",-0.608740546651266,"negative",0.95175,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7397491
"442","Soil","Abundance","stand.age.yrs.num","ASV_2077",-0.608317325774411,"negative",0.95175,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7408483
"443","Soil","Abundance","stand.age.yrs.num","ASV_2413",-0.607199227499687,"negative",0.95025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.739628
"444","Soil","Abundance","stand.age.yrs.num","ASV_1004",-0.604747270781378,"negative",0.95175,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.740961
"445","Soil","Abundance","stand.age.yrs.num","ASV_2394",-0.604456378270733,"negative",0.9525,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7393936
"446","Soil","Abundance","stand.age.yrs.num","ASV_1282",-0.599657944020248,"negative",0.95025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7397526
"447","Soil","Abundance","stand.age.yrs.num","ASV_924",-0.594665073150446,"negative",0.95025,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7340707
"448","Soil","Abundance","stand.age.yrs.num","ASV_188",0.705117272341045,"positive",0.9855,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,-1.7357989
"449","Soil","Abundance","TIN","ASV_54",1.54222709970978,"positive",0.956,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__anisopliae",-6.7724035
"450","Soil","Abundance","TIN","ASV_3308",1.78508468754986,"positive",0.95725,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA,NA,-4.4522026
"451","Soil","Abundance","TIN","ASV_1537",1.79727665386686,"positive",0.962,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA,NA,-4.4511606
"452","Soil","Presence","Cu","ASV_807",-3.72593392976928,"negative",1,"k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis",NA,-4.0377303
"453","Soil","Presence","Cu","ASV_90",-3.61499901075589,"negative",1,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.7015328
"454","Soil","Presence","Cu","ASV_516",-3.61029871278421,"negative",1,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6446694
"455","Soil","Presence","Cu","ASV_168",-3.56829465991946,"negative",1,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6473017
"456","Soil","Presence","Cu","ASV_1598",-3.44500747866123,"negative",1,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.634663
"457","Soil","Presence","Cu","ASV_270",-3.19000112572075,"negative",1,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA,1.0239089
"458","Soil","Presence","Cu","ASV_2132",-2.9953567838848,"negative",1,"k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,-5.9318044
"459","Soil","Presence","Cu","ASV_1469",-2.91144768178474,"negative",1,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA,4.5638098
"460","Soil","Presence","Cu","ASV_355",-2.8605610184322,"negative",1,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongata",-5.6969774
"461","Soil","Presence","Cu","ASV_690",-2.80933235545637,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA,-5.9746054
"462","Soil","Presence","Cu","ASV_2437",-2.75963181076949,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA,-5.4874072
"463","Soil","Presence","Cu","ASV_361",-2.57551891519711,"negative",0.998,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA,0.8893267
"464","Soil","Presence","Cu","ASV_2214",-2.56389215183062,"negative",1,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA,-1.5449331
"465","Soil","Presence","Cu","ASV_1058",-2.39252374587634,"negative",0.9965,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3114635
"466","Soil","Presence","Cu","ASV_104",-2.36230418223272,"negative",0.9985,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria",NA,4.6349594
"467","Soil","Presence","Cu","ASV_128",-2.36226445170312,"negative",0.9965,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__napipes",4.5758161
"468","Soil","Presence","Cu","ASV_839",-2.35681695636167,"negative",0.9975,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.2522673
"469","Soil","Presence","Cu","ASV_295",-2.32353763711448,"negative",0.9975,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA,4.5738852
"470","Soil","Presence","Cu","ASV_1248",-2.28089773611727,"negative",0.99825,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,-5.0636759
"471","Soil","Presence","Cu","ASV_980",-2.21683558641254,"negative",0.993,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Thelephora","s__corticioides",1.0587615
"472","Soil","Presence","Cu","ASV_67",-2.16621466052596,"negative",0.993,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.2323976
"473","Soil","Presence","Cu","ASV_1513",-2.13215030794693,"negative",0.993,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-1.6031096
"474","Soil","Presence","Cu","ASV_2158",-2.11887414394659,"negative",0.99425,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__carneum",-6.2997601
"475","Soil","Presence","Cu","ASV_35",-2.02320065588873,"negative",0.995,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","s__falcata",5.8273332
"476","Soil","Presence","Cu","ASV_1128",-1.98255670615685,"negative",0.99175,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.253555
"477","Soil","Presence","Cu","ASV_3519",-1.97166622627148,"negative",0.99175,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA,-4.0309544
"478","Soil","Presence","Cu","ASV_29",-1.96220504069141,"negative",0.9995,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Wilcoxina","s__mikolae",-7.6748209
"479","Soil","Presence","Cu","ASV_132",-1.87540013355717,"negative",0.992,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Tylospora",NA,0.5686212
"480","Soil","Presence","Cu","ASV_1539",-1.8748821675522,"negative",0.99675,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Terramycetaceae",NA,NA,-4.4148227
"481","Soil","Presence","Cu","ASV_203",-1.76696222667942,"negative",0.99675,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1221888
"482","Soil","Presence","Cu","ASV_50",-1.75084112198819,"negative",0.993,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnum",NA,-5.6640228
"483","Soil","Presence","Cu","ASV_507",-1.70134645140248,"negative",0.9985,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,NA,NA,-4.4407399
"484","Soil","Presence","Cu","ASV_519",-1.56715342065974,"negative",0.9955,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA,-3.8827382
"485","Soil","Presence","Cu","ASV_473",1.30915237997038,"positive",0.99275,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__bambusae",-5.8738932
"486","Soil","Presence","Cu","ASV_451",1.38248358987476,"positive",0.9935,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6799047
"487","Soil","Presence","Cu","ASV_850",1.44794030607161,"positive",0.99475,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Conlarium",NA,-5.8385859
"488","Soil","Presence","Cu","ASV_188",1.46969354448865,"positive",0.99625,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,-1.7357989
"489","Soil","Presence","Cu","ASV_2196",1.60411741152469,"positive",0.9925,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6349354
"490","Soil","Presence","Cu","ASV_523",1.60529810347778,"positive",0.99775,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae",NA,NA,-4.4440577
"491","Soil","Presence","Cu","ASV_274",1.69795653312538,"positive",0.99125,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus",-4.6306227
"492","Soil","Presence","Cu","ASV_4145",1.69842179807011,"positive",0.9905,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1003594
"493","Soil","Presence","Cu","ASV_1983",1.71179273521587,"positive",0.99,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon",NA,4.5140615
"494","Soil","Presence","Cu","ASV_2100",1.73257111437639,"positive",0.9965,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae",NA,NA,-4.4365601
"495","Soil","Presence","Cu","ASV_113",1.73466940495589,"positive",0.99825,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA,-5.6179838
"496","Soil","Presence","Cu","ASV_446",1.7568610872601,"positive",0.9915,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae",NA,NA,0.9386762
"497","Soil","Presence","Cu","ASV_119",1.78470289945102,"positive",0.9975,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.3071929
"498","Soil","Presence","Cu","ASV_176",1.79296936658142,"positive",0.99275,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.2793742
"499","Soil","Presence","Cu","ASV_431",1.81084941987052,"positive",0.99375,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium","s__brooksianum",-4.6341185
"500","Soil","Presence","Cu","ASV_2486",1.83576419085214,"positive",0.99375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6708317
"501","Soil","Presence","Cu","ASV_1198",1.83631867307744,"positive",0.996,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6750943
"502","Soil","Presence","Cu","ASV_550",1.85475375168341,"positive",0.99825,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Minimedusa","s__polyspora",0.8359744
"503","Soil","Presence","Cu","ASV_2745",1.85761848542025,"positive",0.99475,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","g__Rhizophydium",NA,-4.4180351
"504","Soil","Presence","Cu","ASV_1864",1.8984362843446,"positive",0.992,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA,-5.5889239
"505","Soil","Presence","Cu","ASV_2912",1.92282092756465,"positive",0.993,"k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus",NA,-4.2045033
"506","Soil","Presence","Cu","ASV_2128",1.9446480129674,"positive",0.99225,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-1.6008722
"507","Soil","Presence","Cu","ASV_335",1.96319559332082,"positive",0.99075,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1202614
"508","Soil","Presence","Cu","ASV_639",1.96533513864026,"positive",0.999,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7195308
"509","Soil","Presence","Cu","ASV_273",2.00826371146925,"positive",0.9955,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,NA,4.7478299
"510","Soil","Presence","Cu","ASV_4237",2.04752493055169,"positive",0.994,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Neoidriella","s__desertorum",-5.8315623
"511","Soil","Presence","Cu","ASV_653",2.04824849007264,"positive",0.99625,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.2538422
"512","Soil","Presence","Cu","ASV_926",2.05130393631068,"positive",0.99775,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6767854
