ASV,kingdom,phylum,class,order,family,genus,species
ASV_1741,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,NA,NA
ASV_295,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,NA
ASV_1469,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,NA
ASV_128,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__napipes
ASV_2293,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_190,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_1168,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_885,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_5993,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_117,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_253,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_9,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_67,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_202,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_184,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_57,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_522,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_325,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_27,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_1238,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_427,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_1015,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA
ASV_36,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_634,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_759,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_262,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_126,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_180,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_89,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_742,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_604,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_63,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_782,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA
ASV_195,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Camarophyllopsis,NA
ASV_51,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Camarophyllopsis,NA
ASV_35,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__falcata
ASV_1498,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,NA
ASV_124,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,NA
ASV_2271,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pleurotaceae,NA,NA
ASV_3041,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cyphellaceae,NA,NA
ASV_977,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,NA
ASV_1863,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__candolleana
ASV_575,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__squamosa
ASV_2964,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,NA,NA
ASV_2186,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,NA,NA
ASV_3670,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA
ASV_14,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA
ASV_3859,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,NA
ASV_1752,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,NA
ASV_43,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,NA
ASV_1298,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Psilocybe,s__coprophila
ASV_104,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hydnangiaceae,g__Laccaria,NA
ASV_1759,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae,g__Pluteus,NA
ASV_1467,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae,g__Pluteus,NA
ASV_3543,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae,g__Pluteus,s__septocystidiatus
ASV_62,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Marasmiaceae,g__Marasmius,NA
ASV_847,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,NA
ASV_93,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Rhizopogonaceae,g__Rhizopogon,NA
ASV_95,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Lachnocladiaceae,NA,NA
ASV_59,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Lachnocladiaceae,NA,NA
ASV_84,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Lachnocladiaceae,g__Vararia,NA
ASV_70,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Lachnocladiaceae,g__Vararia,NA
ASV_3217,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Stereaceae,g__Stereum,s__complicatum
ASV_4439,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Ganodermataceae,g__Ganoderma,NA
ASV_6039,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Sistotrema,NA
ASV_550,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__polyspora
ASV_693,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,g__Minimedusa,s__polyspora
ASV_509,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,NA,NA
ASV_455,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,NA,NA
ASV_1214,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Cantharellales_fam_Incertae_sedis,NA,NA
ASV_140,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris
ASV_200,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris
ASV_211,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris
ASV_1458,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris
ASV_1464,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris
ASV_816,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_971,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_955,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_216,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_889,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_416,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_282,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_424,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_2118,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA
ASV_1043,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_2217,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_863,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_642,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_178,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_839,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_119,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_1128,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_158,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_42,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_150,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_198,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_961,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_1251,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_2292,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_599,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_2117,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_176,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_45,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_334,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_2554,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_328,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_101,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_653,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_174,k__Fungi,p__Basidiomycota,c__Agaricomycetes,NA,NA,NA,NA
ASV_603,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,NA,NA,NA
ASV_820,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,NA,NA,NA
ASV_1258,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,NA,NA,NA
ASV_1984,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,NA,NA,NA
ASV_446,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,NA,NA
ASV_252,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,NA,NA
ASV_1555,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,NA,NA
ASV_978,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,NA,NA
ASV_26,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,NA,NA,NA
ASV_270,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,NA,NA
ASV_980,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Thelephora,s__corticioides
ASV_47,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Atheliaceae,g__Amphinema,NA
ASV_132,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Atheliaceae,g__Tylospora,NA
ASV_411,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Atheliaceae,g__Tylospora,NA
ASV_1342,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,NA
ASV_3084,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Microbotryomycetes_ord_Incertae_sedis,f__Chrysozymaceae,g__Chrysozyma,s__griseoflava
ASV_2214,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Leucosporidiales,NA,NA,NA
ASV_136,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Golubeviales,f__Golubeviaceae,g__Golubevia,s__pallescens
ASV_833,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Golubeviales,f__Golubeviaceae,g__Golubevia,s__pallescens
ASV_4321,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Tilletiales,f__Tilletiaceae,g__Tilletia,NA
ASV_3287,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Tilletiales,f__Tilletiaceae,g__Tilletia,NA
ASV_916,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,NA
ASV_856,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Brachybasidiaceae,g__Meira,s__argovae
ASV_1962,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Brachybasidiaceae,g__Meira,s__argovae
ASV_3134,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,NA
ASV_3610,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Symmetrosporaceae,g__Symmetrospora,NA
ASV_2706,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiomycetes_ord_Incertae_sedis,f__Microsporomycetaceae,NA,NA
ASV_5641,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Occultifur,NA
ASV_2466,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiales_fam_Incertae_sedis,g__Sakaguchia,NA
ASV_1414,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Bannoa,NA
ASV_1044,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Bannoa,NA
ASV_2871,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Bannoa,NA
ASV_1345,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__hasegawianum
ASV_2010,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,s__hasegawianum
ASV_2127,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_138,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_717,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_1018,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_649,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_2675,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_1167,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,f__Erythrobasidiaceae,g__Erythrobasidium,NA
ASV_525,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Erythrobasidiales,NA,NA,NA
ASV_149,k__Fungi,p__Basidiomycota,c__Spiculogloeomycetes,o__Spiculogloeales,f__Spiculogloeaceae,g__Phyllozyma,s__linderae
ASV_526,k__Fungi,p__Basidiomycota,c__Spiculogloeomycetes,o__Spiculogloeales,f__Spiculogloeaceae,g__Phyllozyma,s__linderae
ASV_1219,k__Fungi,p__Basidiomycota,c__Spiculogloeomycetes,o__Spiculogloeales,f__Spiculogloeaceae,g__Phyllozyma,s__novozealandica
ASV_223,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Platygloeales,NA,NA,NA
ASV_1502,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_60,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_368,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_2689,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_32,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_3,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_165,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_18,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_1925,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__emaculata
ASV_2180,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Pucciniales,f__Pucciniaceae,g__Puccinia,NA
ASV_188,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,NA
ASV_2865,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,NA
ASV_2157,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,NA
ASV_443,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__terricola
ASV_4374,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Tausonia,s__pullulans
ASV_796,k__Fungi,p__Basidiomycota,c__Tremellomycetes,NA,NA,NA,NA
ASV_3007,k__Fungi,p__Basidiomycota,c__Tremellomycetes,NA,NA,NA,NA
ASV_1738,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA
ASV_392,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__flava
ASV_565,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__podzolica
ASV_56,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__podzolica
ASV_572,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,NA
ASV_130,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Bullera,s__penniseticola
ASV_406,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Bullera,s__penniseticola
ASV_975,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleraceae,g__Genolevuria,NA
ASV_2855,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,NA
ASV_68,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,NA
ASV_1519,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Rhynchogastremataceae,g__Papiliotrema,s__fusca
ASV_2470,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Carcinomycetaceae,g__Carcinomyces,NA
ASV_1934,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Carcinomycetaceae,g__Carcinomyces,NA
ASV_378,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Derxomyces,NA
ASV_973,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Derxomyces,s__pseudoschimicola
ASV_3289,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,NA
ASV_182,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,NA
ASV_236,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__pagnoccae
ASV_55,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__pagnoccae
ASV_5642,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__sinensis
ASV_7208,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__sinensis
ASV_312,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Hannaella,s__sinensis
ASV_362,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,s__foliicola
ASV_458,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,NA
ASV_1451,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,NA
ASV_419,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Bulleribasidium,NA
ASV_5,k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Hoehnelomycetaceae,g__Atractiella,s__solani
ASV_2552,k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Phleogenaceae,g__Atractidochium,s__hillariae
ASV_98,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,s__diospyri
ASV_806,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,s__diospyri
ASV_339,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,s__diospyri
ASV_2171,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,s__pyrrosiae
ASV_255,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,NA
ASV_877,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,NA
ASV_2338,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Ruineniaceae,g__Ruinenia,NA
ASV_2659,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,NA,NA,NA
ASV_2516,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,NA,NA,NA
ASV_2608,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Kondoaceae,g__Bensingtonia,NA
ASV_3383,k__Fungi,p__Kickxellomycota,c__Kickxellomycetes,o__Kickxellales,f__Kickxellaceae,g__Ramicandelaber,NA
ASV_1117,k__Fungi,p__Entorrhizomycota,c__Entorrhizomycetes,o__Entorrhizales,f__Entorrhizaceae,g__Entorrhiza,s__tenuis
ASV_1492,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Angulomycetaceae,g__Angulomyces,s__argentinensis
ASV_3559,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Coralloidiomyces,s__digitatus
ASV_383,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
ASV_538,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
