"","n.samples","n.asvs","source","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"1",109,873,"l",2179,9744,14511,16171.7155963303,19816,50516
"2",111,2491,"r",3161,8660,13825,17047.0990990991,21491.5,65580
"3",112,3836,"s",2295,9172.25,12752,15272.1607142857,18948.5,61410
