sample.name.match,Site,mono.mixed,cultivar,plotarea.m2,max.height.m,basal.area.m2,stand.age.yrs,ph,perc.C,watercontent,doc,p.resin,TIN,SOM,W.V,mbc,Cu,K,Mg,Mn,P,Zn,Ca,perc.N,S,perc.clay,perc.sand,MAP.mm,MAT.C,lat,lon,samp.lat,samp.lon
R18,CGF-MON,mono,Alamo,2880.00,1.87,0.03,9,6.96,4.46,0.34,7.16,7.39,2.59,0.41,0.87,31.44,5.98,90.80,406.90,32.41,54.02,7.47,1432.18,0.33,28.74,26.50,49.95,1116.87,15.0,35.55360,-80.65369,35.55359,-80.65386
R76,OTO-MON,mono,Alamo,66.00,2.22,0.14,8,5.43,0.88,0.17,1.73,2.28,1.42,0.32,1.06,11.25,1.23,49.06,67.92,5.75,54.72,1.98,260.38,0.05,15.09,16.74,64.58,1127.55,14.9,36.30140,-78.61235,36.30148,-78.61237
R29,CGF-MXG,mixed-grass,unknown,3560.00,1.87,0.08,12,5.39,1.72,0.31,0.48,3.96,1.33,0.41,0.86,14.84,3.02,60.47,180.23,57.33,46.51,4.53,977.91,0.13,26.74,21.50,32.64,1116.87,15.0,35.54975,-80.65250,35.54978,-80.65234
R45,CRE-MXT,mixed-tree,mixed,504.00,1.88,0.02,4,5.68,1.27,0.22,2.31,0.23,1.01,0.46,1.15,3.54,0.87,37.39,88.70,68.09,26.96,4.35,465.22,0.05,12.17,15.35,66.43,1192.21,16.5,35.37047,-78.04537,35.37108,-78.04527
R69,MHC-ONE,mono,unknown,88.94,2.30,0.11,10,6.82,2.03,0.25,3.52,22.10,1.77,0.41,0.97,31.40,1.03,211.34,261.86,24.33,48.45,2.16,843.30,0.16,22.68,17.16,65.09,1207.84,12.9,35.41695,-82.55740,35.41684,-82.55745
R58,LWR-BHO,mixed-grass,unknown,3024.00,2.40,0.19,>10,5.71,1.20,0.21,1.05,2.33,1.56,0.60,1.15,7.53,0.70,80.00,78.26,14.61,226.96,4.43,586.09,0.08,14.78,8.20,65.50,1176.24,15.5,35.73513,-78.70249,35.73523,-78.70267
R93,SFA-ONE,mono,mixed unknown,10604.50,2.50,0.03,1,6.66,1.81,0.18,1.16,11.68,1.22,0.32,1.07,22.43,0.65,79.44,140.19,15.70,60.75,2.34,807.48,0.10,16.82,5.60,70.39,1245.48,15.0,35.37303,-81.68670,35.37263,-81.68658
R5,BRF-ONE,mono,unknown,1350.00,2.65,0.11,5,5.58,0.86,0.22,3.88,0.00,1.37,0.41,1.13,6.06,0.53,51.33,131.86,28.94,23.01,2.30,401.77,0.06,13.27,7.27,67.63,1169.34,15.5,35.60368,-78.84774,35.60362,-78.84776
R77,OTO-MON,mono,Alamo,66.00,1.99,0.11,8,5.03,0.87,0.16,0.13,1.70,2.34,0.36,1.13,19.66,0.62,36.28,69.91,4.16,48.67,1.86,284.96,0.05,15.93,16.29,64.70,1127.55,14.9,36.30140,-78.61235,36.30145,-78.61237
R26,CGF-MXG,mixed-grass,unknown,3560.00,2.00,0.41,12,5.71,2.34,0.33,5.61,10.82,1.04,0.41,0.80,12.84,3.63,141.25,220.00,75.13,75.00,5.63,985.00,0.16,26.25,23.92,28.12,1116.87,15.0,35.54975,-80.65250,35.54937,-80.65136
R62,LWR-BHO,mixed-grass,unknown,3024.00,2.38,0.04,>10,6.20,1.86,0.26,2.29,15.81,1.05,0.56,0.98,13.92,1.12,139.80,162.24,17.76,253.06,4.29,879.59,0.10,15.31,9.08,75.04,1176.24,15.5,35.73513,-78.70249,35.73566,-78.70286
R23,CGF-MON,mono,Alamo,2880.00,2.14,0.13,9,6.60,2.31,0.33,8.21,2.11,0.80,0.27,0.84,12.14,5.24,60.71,294.05,34.40,32.14,4.52,1116.67,0.18,30.95,30.72,40.66,1116.87,15.0,35.55360,-80.65369,35.55367,-80.65324
R37,CRE-MXG,mixed-grass,unknown,33957.00,1.67,0.04,3,5.98,0.75,0.06,0.28,5.94,1.77,0.22,1.29,10.61,1.55,89.92,62.02,54.96,258.91,3.80,195.35,0.03,9.30,2.50,85.91,1192.21,16.5,35.37010,-78.04424,35.37000,-78.04615
R89,OTO-MXT,mixed-tree,Alamo,507.00,2.35,0.11,7,5.01,0.82,0.12,0.64,0.61,0.98,0.27,1.14,5.90,0.61,34.21,53.51,2.11,48.25,0.88,196.49,0.04,15.79,18.05,63.45,1127.55,14.9,36.30107,-78.61558,36.30083,-78.61579
R13,CCR-ONE,mono,Performer,4757.35,2.47,0.22,26,6.10,1.05,0.10,1.81,26.10,2.03,0.41,1.30,3.90,3.31,33.08,103.08,22.00,250.00,31.08,615.38,0.05,13.85,7.43,83.62,1177.02,15.6,35.66531,-78.51256,35.66502,-78.51251
R86,OTO-MXT,mixed-tree,Alamo,507.00,2.33,0.15,7,5.19,0.82,0.14,0.00,1.36,0.71,0.22,1.13,10.72,0.27,34.51,41.59,1.59,84.07,0.80,199.12,0.03,15.04,15.98,66.07,1127.55,14.9,36.30107,-78.61558,36.30107,-78.61581
R103,UCP-MXG,mixed-grass,Alamo,1638.00,1.96,0.09,26,5.05,1.20,0.10,0.57,15.06,1.16,0.56,1.26,8.15,1.35,49.21,37.30,7.86,315.87,4.29,153.97,0.05,15.87,5.06,80.09,1166.37,15.8,35.89575,-77.67927,35.89574,-77.67931
R101,UCP-MXG,mixed-grass,Alamo,1638.00,2.06,0.08,26,5.13,1.01,0.11,1.21,2.52,1.13,0.32,1.20,12.79,0.50,38.33,40.83,7.33,145.83,1.92,128.33,0.05,16.67,5.08,82.86,1166.37,15.8,35.89575,-77.67927,35.89566,-77.67913
S243,CGF-MXG,mixed-grass,unknown,3560.00,1.87,0.08,12,5.39,1.72,0.31,0.48,3.96,1.33,0.41,0.86,14.84,3.02,60.47,180.23,57.33,46.51,4.53,977.91,0.13,26.74,21.50,32.64,1116.87,15.0,35.54975,-80.65250,35.54978,-80.65234
R36,CRE-MXG,mixed-grass,unknown,33957.00,1.16,0.03,3,5.31,0.78,0.08,1.68,6.00,0.71,0.27,1.27,4.92,1.42,41.73,33.07,72.05,273.23,3.78,210.24,0.03,12.60,1.62,84.17,1192.21,16.5,35.37010,-78.04424,35.36982,-78.04574
R17,CGF-MON,mono,Alamo,2880.00,2.27,0.16,9,6.61,2.55,0.44,7.59,18.37,1.30,0.27,0.85,17.06,6.35,75.29,281.18,20.71,55.29,6.24,1489.41,0.19,27.06,45.16,38.61,1116.87,15.0,35.55360,-80.65369,35.55379,-80.65395
R64,LWR-BHO,mixed-grass,unknown,3024.00,2.08,0.07,>10,6.14,1.31,0.17,1.27,11.82,0.79,0.32,1.07,8.65,0.84,103.74,122.43,15.23,328.04,3.46,869.16,0.07,14.95,10.10,70.96,1176.24,15.5,35.73513,-78.70249,35.73579,-78.70304
R20,CGF-MON,mono,Alamo,2880.00,1.72,0.03,9,6.82,3.06,0.37,6.25,6.08,2.30,0.18,0.79,7.84,4.30,79.75,358.23,19.11,24.05,3.42,1440.51,0.24,40.51,39.22,43.43,1116.87,15.0,35.55360,-80.65369,35.55369,-80.65360
R106,UCP-MXG,mixed-grass,Alamo,1638.00,2.47,0.38,26,5.25,1.25,0.13,4.71,10.73,2.17,0.66,1.19,8.22,0.84,83.19,45.38,13.87,289.92,3.36,199.16,0.06,21.01,2.54,80.85,1166.37,15.8,35.89575,-77.67927,35.89592,-77.67946
R94,SFA-ONE,mono,mixed unknown,10604.50,2.56,0.05,1,5.92,0.84,0.14,1.26,10.08,0.69,0.46,1.28,8.12,0.31,42.19,49.22,12.81,117.97,1.02,298.44,0.03,12.50,1.66,76.84,1245.48,15.0,35.37303,-81.68670,35.37280,-81.68637
R7,BRF-ONE,mono,unknown,1350.00,2.82,0.16,5,5.56,0.85,0.18,1.68,1.62,1.10,0.32,1.16,8.27,0.26,32.76,67.24,30.69,18.10,1.55,280.17,0.05,11.21,4.64,73.87,1169.34,15.5,35.60368,-78.84774,35.60371,-78.84763
R99,SFA-ONE,mono,mixed unknown,10604.50,2.42,0.02,1,5.89,0.91,0.15,1.18,14.08,0.91,0.41,1.25,10.37,0.40,84.80,33.60,12.88,77.60,1.28,311.20,0.04,12.80,3.72,77.39,1245.48,15.0,35.37303,-81.68670,35.37363,-81.68665
R31,CGF-MXG,mixed-grass,unknown,3560.00,1.82,0.29,12,5.37,1.72,0.30,4.52,15.58,2.87,0.46,0.78,15.52,3.08,114.10,185.90,63.97,69.23,4.62,920.51,0.13,28.21,23.45,32.51,1116.87,15.0,35.54975,-80.65250,35.54997,-80.65303
R15,CCR-ONE,mono,Performer,4757.35,2.33,0.25,26,5.82,1.23,0.12,2.32,49.84,3.87,0.56,1.18,7.48,5.34,58.47,96.61,32.29,372.03,51.02,674.58,0.06,15.25,7.72,80.43,1177.02,15.6,35.66531,-78.51256,35.66499,-78.51268
R92,SFA-ONE,mono,mixed unknown,10604.50,2.25,0.02,1,6.50,0.90,0.14,0.30,2.10,0.71,0.32,1.09,16.61,0.55,66.06,83.49,10.37,39.45,0.92,459.63,0.06,12.84,2.89,75.46,1245.48,15.0,35.37303,-81.68670,35.37247,-81.68662
R35,CRE-MXG,mixed-grass,unknown,33957.00,1.31,0.12,3,5.22,0.76,0.08,1.78,11.95,1.45,0.32,1.25,3.26,2.24,53.60,34.40,91.20,334.40,4.64,187.20,0.03,14.40,1.59,83.24,1192.21,16.5,35.37010,-78.04424,35.36975,-78.04530
R71,MHC-ONE,mono,unknown,88.94,2.20,0.17,10,6.88,1.49,0.24,3.45,4.14,1.64,0.32,0.98,13.95,1.33,166.33,228.57,28.06,25.51,2.24,785.71,0.10,17.35,24.93,47.26,1207.84,12.9,35.41695,-82.55740,35.41687,-82.55740
S244,CGF-MXG,mixed-grass,unknown,3560.00,2.24,0.14,12,5.34,1.59,0.29,6.75,23.67,1.13,0.51,0.79,12.20,3.80,143.04,160.76,69.11,103.80,4.68,794.94,0.12,36.71,26.17,23.47,1116.87,15.0,35.54975,-80.65250,35.54986,-80.65269
R85,OTO-MXT,mixed-tree,Alamo,507.00,1.84,0.04,7,5.43,0.80,0.14,0.86,3.10,0.65,0.32,1.16,8.38,0.34,51.72,83.62,2.76,86.21,0.86,251.72,0.04,13.79,17.78,60.98,1127.55,14.9,36.30107,-78.61558,36.30114,-78.61581
R44,CRE-MXT,mixed-tree,mixed,504.00,1.94,0.05,4,5.85,0.69,0.09,0.34,4.82,0.97,0.32,1.23,3.15,0.57,43.90,51.22,81.14,222.76,2.85,230.89,0.02,8.94,10.08,78.26,1192.21,16.5,35.37047,-78.04537,35.37049,-78.04634
R50,LCO-MXT,mixed-tree,Alamo,581.00,2.19,0.09,9,4.27,4.13,0.31,6.70,1.26,2.63,4.44,0.93,23.73,0.22,32.26,24.73,0.75,43.01,0.54,100.00,0.18,30.11,4.65,67.50,1259.35,16.5,35.26327,-77.46762,35.26341,-77.46745
R54,LCO-MXT,mixed-tree,Alamo,581.00,1.99,0.04,9,4.07,8.78,0.50,6.00,1.27,5.25,8.24,0.74,45.75,0.14,56.76,29.73,0.95,27.03,0.41,217.57,0.43,39.19,17.23,47.74,1259.35,16.5,35.26327,-77.46762,35.26304,-77.46801
R84,OTO-MXT,mixed-tree,Alamo,507.00,1.98,0.06,7,5.62,1.11,0.18,0.55,2.11,1.98,0.18,1.05,16.73,0.48,47.62,180.95,6.48,59.05,1.33,466.67,0.06,17.14,18.07,58.56,1127.55,14.9,36.30107,-78.61558,36.30122,-78.61579
R1,BRF-ONE,mono,unknown,1350.00,2.43,0.10,5,5.46,0.96,0.23,0.99,0.67,1.74,0.41,1.18,12.75,0.42,44.07,93.22,30.51,30.51,2.12,314.41,0.06,11.02,5.19,70.85,1169.34,15.5,35.60368,-78.84774,35.60344,-78.84784
R51,LCO-MXT,mixed-tree,Alamo,581.00,1.55,0.02,9,4.43,4.08,0.35,3.80,0.68,1.81,6.20,0.85,23.57,0.12,30.59,21.18,0.71,27.06,0.35,64.71,0.16,23.53,9.02,52.87,1259.35,16.5,35.26327,-77.46762,35.26332,-77.46759
R111,WBI-NRT,mono,Performer,25.00,2.54,0.37,7,6.62,1.09,0.18,0.03,26.10,2.80,0.71,1.15,8.19,3.83,80.00,166.96,13.04,328.70,6.00,653.91,0.07,12.17,2.10,71.58,1300.15,16.6,34.76719,-78.10178,34.76744,-78.10192
R80,OTO-MON,mono,Alamo,66.00,2.35,0.16,8,5.49,0.85,0.18,0.05,1.91,1.73,0.32,1.17,16.08,0.94,30.77,64.96,7.35,44.44,2.31,318.80,0.04,13.68,16.07,67.19,1127.55,14.9,36.30140,-78.61235,36.30136,-78.61232
R107,UCP-MXG,mixed-grass,Alamo,1638.00,2.06,0.21,26,5.19,0.84,0.12,2.56,10.37,1.63,0.36,1.22,7.67,0.66,40.98,28.69,6.07,194.26,2.05,127.87,0.05,15.57,2.56,79.88,1166.37,15.8,35.89575,-77.67927,35.89598,-77.67953
R75,MHC-ONE,mono,unknown,88.94,2.60,0.13,10,6.42,2.40,0.24,2.67,23.45,1.81,0.60,0.97,19.25,3.09,311.34,238.14,37.53,101.03,2.58,1055.67,0.18,22.68,20.79,50.91,1207.84,12.9,35.41695,-82.55740,35.41707,-82.55731
R60,LWR-BHO,mixed-grass,unknown,3024.00,2.31,0.15,>10,5.96,1.52,0.21,1.60,3.15,2.97,0.66,1.12,8.31,0.63,141.96,113.39,10.63,191.07,4.46,657.14,0.08,15.18,5.27,68.71,1176.24,15.5,35.73513,-78.70249,35.73539,-78.70283
R34,CRE-MXG,mixed-grass,unknown,33957.00,1.44,0.13,3,5.68,0.72,0.08,0.89,8.06,0.81,0.27,1.20,10.95,1.83,74.17,42.50,123.75,230.83,4.83,236.67,0.02,11.67,2.86,81.81,1192.21,16.5,35.37010,-78.04424,35.36943,-78.04493
R88,OTO-MXT,mixed-tree,Alamo,507.00,2.24,0.04,7,5.05,0.80,0.09,0.59,0.98,0.81,0.32,1.26,2.73,0.40,42.86,48.41,3.33,67.46,1.03,157.94,0.04,13.49,15.31,66.59,1127.55,14.9,36.30107,-78.61558,36.30091,-78.61579
R14,CCR-ONE,mono,Performer,4757.35,2.61,0.31,26,6.86,0.59,0.11,0.00,9.78,1.68,0.22,1.34,8.45,1.87,30.60,82.84,10.30,123.88,17.24,385.82,0.03,8.96,7.59,85.17,1177.02,15.6,35.66531,-78.51256,35.66546,-78.51269
S245,CGF-MXG,mixed-grass,unknown,3560.00,1.82,0.29,12,5.37,1.72,0.30,4.52,15.58,2.87,0.46,0.78,15.52,3.08,114.10,185.90,63.97,69.23,4.62,920.51,0.13,28.21,23.45,32.51,1116.87,15.0,35.54975,-80.65250,35.54997,-80.65303
R9,CCR-ONE,mono,Performer,4757.35,2.69,0.60,26,6.78,1.04,0.11,0.97,38.54,2.21,0.46,1.29,6.64,5.35,37.98,107.75,24.03,274.42,34.26,699.22,0.04,10.85,8.80,82.70,1177.02,15.6,35.66531,-78.51256,35.66512,-78.51219
